Wall time,Step,Value
1607144607.287591,18,1.2239394187927246
1607144622.624002,42,1.2077770233154297
1607144624.528975,45,1.239099144935608
1607144631.486652,56,1.2089420557022095
1607144641.090275,71,1.2133506536483765
1607144655.672266,94,1.032934308052063
1607144694.640537,155,0.45369282364845276
1607144696.606791,158,0.4802209734916687
1607144702.306155,167,0.6278049945831299
1607144741.717175,229,0.5446096062660217
1607144744.929631,234,0.45505204796791077
1607144758.375802,255,0.4978958070278168
1607144766.062087,267,0.3593088984489441
1607144769.885707,273,0.39341795444488525
1607144792.317082,308,0.45951351523399353
1607144793.604853,310,0.3645264506340027
1607144798.692834,318,0.4347771108150482
1607144817.316837,347,0.4177112877368927
1607144830.361766,367,0.42014080286026
1607144865.067704,421,0.3144013285636902
1607144878.675463,442,0.4036053419113159
1607144890.360592,460,0.3820318877696991
1607144899.316268,474,0.352717787027359
1607144938.877642,536,0.3550683557987213
1607144956.108231,563,0.26878246665000916
1607144966.445906,579,0.44555357098579407
1607144970.971298,586,0.3330731689929962
1607144971.631206,587,0.29026681184768677
1607144992.850739,620,0.2881178557872772
1607145001.909671,634,0.3839976191520691
1607145007.090658,642,0.2808626890182495
1607145010.342267,647,0.37706249952316284
1607145019.345663,661,0.43913906812667847
1607145025.784331,671,0.4527536630630493
1607145053.40861,714,0.27162590622901917
1607145058.513624,722,0.3357127904891968
1607145063.610807,730,0.30561554431915283
1607145080.305491,756,0.2553876042366028
1607145086.152181,765,0.2601631283760071
1607145088.752372,769,0.25614288449287415
1607145090.098437,771,0.3648090362548828
1607145099.025313,785,0.3090780973434448
1607145100.313555,787,0.32571884989738464
1607145104.77513,794,0.3161318302154541
1607145109.983833,802,0.3059014678001404
1607145113.881007,808,0.3194711208343506
1607145131.905398,836,0.29727688431739807
1607145202.12926,945,0.2924571931362152
1607145213.01923,962,0.34054186940193176
1607145218.849799,971,0.3127869665622711
1607145219.4822,972,0.271185964345932
1607145223.329767,978,0.2937772274017334
1607145227.181554,984,0.25223225355148315
1607145239.13139,1002,0.35164254903793335
1607145241.078465,1005,0.30125781893730164
1607145246.868504,1014,0.34244272112846375
1607145278.2689,1063,0.31015241146087646
1607145280.162444,1066,0.2948418855667114
1607145283.95651,1072,0.27347826957702637
1607145287.775107,1078,0.29175978899002075
1607145297.322681,1093,0.27703559398651123
1607145301.159878,1099,0.29065805673599243
1607145304.375196,1104,0.262859970331192
1607145337.829968,1156,0.3305738866329193
1607145341.0524,1161,0.3055061101913452
1607145341.700402,1162,0.2973378300666809
1607145353.306634,1180,0.2636496424674988
1607145361.630112,1193,0.2387988418340683
1607145394.332253,1244,0.32329127192497253
1607145405.30589,1261,0.3007151484489441
1607145418.160589,1281,0.2952505648136139
1607145440.736351,1316,0.2645248770713806
1607145442.662939,1319,0.414096474647522
1607145451.598219,1333,0.32621490955352783
1607145454.167554,1337,0.3249792158603668
1607145485.056123,1385,0.2607190012931824
1607145489.582611,1392,0.23991423845291138
1607145503.74155,1414,0.41276681423187256
1607145511.421789,1426,0.38052818179130554
1607145517.981482,1436,0.2561938464641571
1607145537.24398,1466,0.25629493594169617
1607145544.386218,1477,0.321553111076355
1607145549.499003,1485,0.2988659739494324
1607145553.361307,1491,0.25983572006225586
1607145574.021618,1523,0.32156333327293396
1607145592.785462,1552,0.3040715754032135
1607145603.126816,1568,0.2513468563556671
1607145613.458976,1584,0.4035051763057709
1607145616.030163,1588,0.5489413142204285
1607145627.095667,1605,0.2790611982345581
1607145649.516884,1640,0.23977646231651306
1607145676.675077,1682,0.22553932666778564
1607145682.502328,1691,0.2015307992696762
1607145686.33254,1697,0.27498719096183777
1607145689.535895,1702,0.25007396936416626
1607145694.112235,1709,0.2133292406797409
1607145700.026124,1718,0.483043909072876
1607145709.055725,1732,0.3189234435558319
1607145710.357443,1734,0.27838435769081116
1607145712.313016,1737,0.2869422137737274
1607145718.126587,1746,0.3400596082210541
1607145740.667069,1781,0.27178409695625305
1607145769.540643,1826,0.2707974910736084
1607145781.051992,1844,0.2862285375595093
1607145786.727591,1853,0.3486223816871643
1607145795.016528,1866,0.2808300256729126
1607145796.903716,1869,0.29687023162841797
1607145802.081729,1877,0.3218199610710144
1607145827.869478,1917,0.2667766511440277
1607145838.772475,1934,0.23784580826759338
1607145845.246313,1944,0.3614870309829712
1607145847.146653,1947,0.3353341221809387
1607145860.060076,1967,0.2732160687446594
1607145870.444201,1983,0.2410641461610794
1607145882.419072,2001,0.23637771606445312
1607145890.241007,2013,0.22396117448806763
1607145905.093465,2036,0.33329880237579346
1607145928.833826,2073,0.25918155908584595
1607145930.799167,2076,0.2624987065792084
1607145931.46942,2077,0.3109598159790039
1607145936.609343,2085,0.30455294251441956
1607145939.174452,2089,0.27423903346061707
1607145943.701842,2096,0.2608244717121124
1607145977.680688,2149,0.2988949418067932
1607145982.245675,2156,0.26638635993003845
1607145988.076151,2165,0.3203553259372711
1607146002.145708,2187,0.32438069581985474
1607146004.740124,2191,0.3707387447357178
1607146009.889,2199,0.446150541305542
1607146015.073627,2207,0.26971733570098877
1607146017.661926,2211,0.38327455520629883
1607146030.426736,2231,0.2693527042865753
1607146033.622114,2236,0.3396412134170532
1607146034.251528,2237,0.4379951059818268
1607146037.499071,2242,0.27001601457595825
1607146047.22936,2257,0.2869288921356201
1607146050.411143,2262,0.27105122804641724
1607146062.709367,2281,0.30391156673431396
1607146072.950855,2297,0.20238329470157623
1607146079.391795,2307,0.30715411901474
1607146087.110093,2319,0.2823362946510315
1607146103.883677,2345,0.37264880537986755
1607146109.649203,2354,0.20794786512851715
1607146132.396918,2389,0.26456302404403687
1607146133.037066,2390,0.2789255380630493
1607146134.299193,2392,0.2790220081806183
1607146162.546629,2436,0.2612704932689667
1607146167.71043,2444,0.28815922141075134
1607146173.5163,2453,0.22258923947811127
1607146174.780666,2455,0.2723219692707062
1607146177.982784,2460,0.2500455379486084
1607146194.002268,2485,0.24923691153526306
1607146194.674943,2486,0.2725631594657898
1607146201.115398,2496,0.2849062979221344
1607146202.390948,2498,0.2610195279121399
1607146205.666934,2503,0.254188597202301
1607146214.664553,2517,0.2749093770980835
1607146218.499271,2523,0.2820340692996979
1607146224.292371,2532,0.19459150731563568
1607146233.969189,2547,0.26550179719924927
1607146237.811548,2553,0.2364036589860916
1607146271.620248,2606,0.2481967955827713
1607146282.617011,2623,0.25313666462898254
1607146322.79258,2685,0.24580822885036469
1607146326.080664,2690,0.21121257543563843
1607146334.476492,2703,0.26855623722076416
1607146358.27628,2740,0.26053866744041443
1607146367.333964,2754,0.20731094479560852
1607146389.763251,2789,0.21004463732242584
1607146443.057203,2872,0.36657172441482544
1607146454.546598,2890,0.2619548738002777
1607146458.363234,2896,0.2555291950702667
1607146473.873807,2920,0.24766318500041962
1607146504.118028,2967,0.3280591070652008
1607146509.258638,2975,0.20647934079170227
1607146533.152216,3011,0.2248542755842209
1607146545.23684,3030,0.24201065301895142
1607146550.379439,3038,0.23246236145496368
1607146552.285863,3041,0.26066309213638306
1607146570.332145,3069,0.26046693325042725
1607146589.546757,3099,0.23725177347660065
1607146625.466568,3155,0.22784940898418427
1607146629.278457,3161,0.26453259587287903
1607146639.478703,3177,0.23443931341171265
1607146650.990107,3195,0.2410002201795578
1607146651.648967,3196,0.2113974690437317
1607146673.650793,3230,0.19798949360847473
1607146680.099349,3240,0.2000129669904709
1607146682.03235,3243,0.290008008480072
1607146682.704803,3244,0.25538796186447144
1607146683.99324,3246,0.1994878053665161
1607146684.638476,3247,0.23388434946537018
1607146700.749512,3272,0.22090767323970795
1607146721.90471,3305,0.20009072124958038
1607146747.638891,3345,0.31495654582977295
1607146767.787334,3376,0.24519476294517517
1607146785.207196,3403,0.2017897665500641
1607146788.45132,3408,0.24451297521591187
1607146802.699621,3430,0.20400108397006989
1607146814.813515,3449,0.2280021607875824
1607146824.377782,3464,0.22432351112365723
1607146834.716493,3480,0.20946186780929565
1607146853.415421,3509,0.32279345393180847
1607146855.412872,3512,0.2884344458580017
1607146871.386482,3537,0.34335145354270935
1607146898.94386,3580,0.2249661087989807
1607146911.716508,3600,0.23731443285942078
1607146923.347511,3618,0.26667630672454834
1607146924.64103,3620,0.20692017674446106
1607146925.900816,3622,0.26987409591674805
1607146929.8133,3628,0.45632117986679077
1607146948.01732,3656,0.28557440638542175
1607146956.902928,3670,0.25284305214881897
1607146993.09422,3726,0.2158016413450241
